summary,id,field,bt,bg,term,cardinality,format,missingFrom,belongsAt,presentIn,reason,evidence,applicability,severity,source
cii · seller.vatId missing from json,cii|seller.vatId|json,seller.vatId,BT-31,BG-4,Seller VAT identifier,0..1,cii,json,BT-31,model BT-31; json —; xml mapped,The seller (BG-4) comes from the taxpayer resource; the operation carries only the contact point (BG-6),"Derived: fiskaly fills this from Taxpayer /fiscalization/vat_id_number — provided when the account is onboarded (POST /taxpayers, system commissioning), not per invoice.",,note,structural · uapi-map.UAPI_LOSSY_FIELDS · R4
cii · totals.allowance missing from json,cii|totals.allowance|json,totals.allowance,BT-107,BG-22,Sum of allowances on document level,0..1,cii,json,BT-107,model BT-107; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · totals.charge missing from json,cii|totals.charge|json,totals.charge,BT-108,BG-22,Sum of charges on document level,0..1,cii,json,BT-108,model BT-108; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · totals.lineExtension missing from json,cii|totals.lineExtension|json,totals.lineExtension,BT-106,BG-22,Sum of Invoice line net amount,1..1,cii,json,BT-106,model BT-106; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · totals.prepaid missing from json,cii|totals.prepaid|json,totals.prepaid,BT-113,BG-22,Paid amount,0..1,cii,json,BT-113,model BT-113; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · totals.rounding missing from json,cii|totals.rounding|json,totals.rounding,BT-114,BG-22,Rounding amount,0..1,cii,json,BT-114,model BT-114; json —; xml mapped,totals.vat is a three-value VAT summary; the EN 16931 document-level sums and adjustments are not carried,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · typeCode missing from json,cii|typeCode|json,typeCode,BT-3,BG-0,Invoice type code,1..1,cii,json,BT-3,model BT-3; json —; xml mapped,BT-3 is derived by fiskaly; the operation only distinguishes INVOICE from CORRECTION,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · vatBreakdown.{i}.rate missing from json,cii|vatBreakdown.{i}.rate|json,vatBreakdown.{i}.rate,BT-119,BG-23,VAT category rate,1..1,cii,json,/breakdown/{i}/percentage,model BT-119; json —; xml mapped,Only a VAT_RATE row has a percentage; an exemption or reverse-charge row carries none,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_PARTIAL_FIELDS · R2
cii · vatBreakdown.{i}.vatexCode missing from json,cii|vatBreakdown.{i}.vatexCode|json,vatBreakdown.{i}.vatexCode,BT-121,BG-23,VAT exemption reason code,0..1,cii,json,BT-121,model BT-121; json —; xml mapped,rateCode/exemptionCode are many-to-one: the SystemVatRateCode and SystemVatExemptionCode enums cannot express Natura or a VATEX code,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,should-fix,structural · uapi-map.UAPI_LOSSY_FIELDS · R2
cii · buyer.channel.codiceDestinatario missing from xml,cii|buyer.channel.codiceDestinatario|xml,buyer.channel.codiceDestinatario,,,,,cii,xml,buyer.channel.codiceDestinatario,model SDI destination code; json /recipients/{i}/invoicing/destination_code; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,note,structural · cii-map.ts · R3
cii · buyer.channel.email missing from xml,cii|buyer.channel.email|xml,buyer.channel.email,,,,,cii,xml,buyer.channel.email,model Recipient email address; json /recipients/{i}/invoicing/email; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · buyer.channel.format missing from xml,cii|buyer.channel.format|xml,buyer.channel.format,,,,,cii,xml,buyer.channel.format,model Email attachment format; json /recipients/{i}/invoicing/format; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,note,structural · cii-map.ts · R3
cii · buyer.channel.participantId missing from xml,cii|buyer.channel.participantId|xml,buyer.channel.participantId,,,,,cii,xml,buyer.channel.participantId,model Peppol participant identifier; json /recipients/{i}/invoicing/identifier; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,note,structural · cii-map.ts · R3
cii · buyer.channel.pec missing from xml,cii|buyer.channel.pec|xml,buyer.channel.pec,,,,,cii,xml,buyer.channel.pec,model Recipient PEC address; json /recipients/{i}/invoicing/pec; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · buyer.person.forename missing from xml,cii|buyer.person.forename|xml,buyer.person.forename,,,,,cii,xml,buyer.person.forename,model Forename; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · buyer.person.gender missing from xml,cii|buyer.person.gender|xml,buyer.person.gender,,,,,cii,xml,buyer.person.gender,model Gender; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · buyer.person.surname missing from xml,cii|buyer.person.surname|xml,buyer.person.surname,,,,,cii,xml,buyer.person.surname,model Surname; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · buyer.taxId missing from xml,cii|buyer.taxId|xml,buyer.taxId,,,,,cii,xml,buyer.taxId,model Tax registration identifier (codice fiscale); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · delivery.date missing from xml,cii|delivery.date|xml,delivery.date,BT-72,BG-13,Actual delivery date,0..1,cii,xml,BT-72,model BT-72; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,note,structural · cii-map.ts · R3
cii · it.bollo.amount missing from xml,cii|it.bollo.amount|xml,it.bollo.amount,,,,,cii,xml,it.bollo.amount,model Stamp duty amount; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · it.bollo.virtuale missing from xml,cii|it.bollo.virtuale|xml,it.bollo.virtuale,,,,,cii,xml,it.bollo.virtuale,model Virtual stamp duty indicator; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · it.cig missing from xml,cii|it.cig|xml,it.cig,,,,,cii,xml,it.cig,model CIG - codice identificativo gara; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · it.cup missing from xml,cii|it.cup|xml,it.cup,,,,,cii,xml,it.cup,model CUP - codice unico di progetto; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.it.altriDatiGestionali.riferimentoData missing from xml,cii|lines.{i}.it.altriDatiGestionali.riferimentoData|xml,lines.{i}.it.altriDatiGestionali.riferimentoData,,,,,cii,xml,lines.{i}.it.altriDatiGestionali.riferimentoData,model Management data date (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.it.altriDatiGestionali.riferimentoNumero missing from xml,cii|lines.{i}.it.altriDatiGestionali.riferimentoNumero|xml,lines.{i}.it.altriDatiGestionali.riferimentoNumero,,,,,cii,xml,lines.{i}.it.altriDatiGestionali.riferimentoNumero,model Management data number (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.it.altriDatiGestionali.riferimentoTesto missing from xml,cii|lines.{i}.it.altriDatiGestionali.riferimentoTesto|xml,lines.{i}.it.altriDatiGestionali.riferimentoTesto,,,,,cii,xml,lines.{i}.it.altriDatiGestionali.riferimentoTesto,model Management data text (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.it.altriDatiGestionali.tipoDato missing from xml,cii|lines.{i}.it.altriDatiGestionali.tipoDato|xml,lines.{i}.it.altriDatiGestionali.tipoDato,,,,,cii,xml,lines.{i}.it.altriDatiGestionali.tipoDato,model Management data type (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.vat.natura missing from xml,cii|lines.{i}.vat.natura|xml,lines.{i}.vat.natura,,,,,cii,xml,lines.{i}.vat.natura,model Line natura (FatturaPA); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · lines.{i}.vat.reason missing from xml,cii|lines.{i}.vat.reason|xml,lines.{i}.vat.reason,,,,,cii,xml,lines.{i}.vat.reason,model Line VAT exemption reason text; json /entries/{i}/data/vat/reason; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,DE_EI: applicable,note,structural · cii-map.ts · R3
cii · lines.{i}.vat.vatexCode missing from xml,cii|lines.{i}.vat.vatexCode|xml,lines.{i}.vat.vatexCode,,,,,cii,xml,lines.{i}.vat.vatexCode,model Line VAT exemption reason code; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · payment.conditions missing from xml,cii|payment.conditions|xml,payment.conditions,,,,,cii,xml,payment.conditions,model Payment conditions (CondizioniPagamento); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · payment.italianMeansCode missing from xml,cii|payment.italianMeansCode|xml,payment.italianMeansCode,,,,,cii,xml,payment.italianMeansCode,model Payment means (ModalitaPagamento); json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · references.despatchAdvice.issueDate missing from xml,cii|references.despatchAdvice.issueDate|xml,references.despatchAdvice.issueDate,,,,,cii,xml,references.despatchAdvice.issueDate,model Despatch advice date; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.it.rea.capital missing from xml,cii|seller.it.rea.capital|xml,seller.it.rea.capital,,,,,cii,xml,seller.it.rea.capital,model Share capital; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.it.rea.liquidation missing from xml,cii|seller.it.rea.liquidation|xml,seller.it.rea.liquidation,,,,,cii,xml,seller.it.rea.liquidation,model Liquidation status; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.it.rea.number missing from xml,cii|seller.it.rea.number|xml,seller.it.rea.number,,,,,cii,xml,seller.it.rea.number,model REA registration number; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.it.rea.office missing from xml,cii|seller.it.rea.office|xml,seller.it.rea.office,,,,,cii,xml,seller.it.rea.office,model REA registration office; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
cii · seller.it.rea.soleShareholder missing from xml,cii|seller.it.rea.soleShareholder|xml,seller.it.rea.soleShareholder,,,,,cii,xml,seller.it.rea.soleShareholder,model Sole shareholder indicator; json —; xml —,The format's mapping table carries no row for this field,Unobserved: no transmission capture exists for UN/CEFACT CII (Factur-X / ZUGFeRD EN 16931); the evidence in docs/reference/fatturapa/ covers the FatturaPA path only.,,note,structural · cii-map.ts · R3
